Id,date,Calories,day,
1503960366,12-04-2016,1985,Tuesday,
1503960366,13-04-2016,1797,Wednesday,
1503960366,14-04-2016,1776,Thursday,
1503960366,15-04-2016,1745,Friday,
1503960366,16-04-2016,1863,Saturday,
1503960366,17-04-2016,1728,Sunday,
1503960366,18-04-2016,1921,Monday,
1503960366,19-04-2016,2035,Tuesday,
1503960366,20-04-2016,1786,Wednesday,
1503960366,21-04-2016,1775,Thursday,
1503960366,22-04-2016,1827,Friday,
1503960366,23-04-2016,1949,Saturday,
1503960366,24-04-2016,1788,Sunday,
1503960366,25-04-2016,2013,Monday,
1503960366,26-04-2016,1970,Tuesday,
1503960366,27-04-2016,2159,Wednesday,
1503960366,28-04-2016,1898,Thursday,
1503960366,29-04-2016,1837,Friday,
1503960366,30-04-2016,1947,Saturday,
1503960366,01-05-2016,1820,Sunday,
1503960366,02-05-2016,2004,Monday,
1503960366,03-05-2016,1990,Tuesday,
1503960366,04-05-2016,1819,Wednesday,
1503960366,05-05-2016,1959,Thursday,
1503960366,06-05-2016,1896,Friday,
1503960366,07-05-2016,1821,Saturday,
1503960366,08-05-2016,1740,Sunday,
1503960366,09-05-2016,1819,Monday,
1503960366,10-05-2016,1859,Tuesday,
1503960366,11-05-2016,1783,Wednesday,
1503960366,12-05-2016,0,Thursday,
1624580081,12-04-2016,1432,Tuesday,
1624580081,13-04-2016,1411,Wednesday,
1624580081,14-04-2016,1572,Thursday,
1624580081,15-04-2016,1344,Friday,
1624580081,16-04-2016,1463,Saturday,
1624580081,17-04-2016,1554,Sunday,
1624580081,18-04-2016,1604,Monday,
1624580081,19-04-2016,1435,Tuesday,
1624580081,20-04-2016,1446,Wednesday,
1624580081,21-04-2016,1467,Thursday,
1624580081,22-04-2016,1470,Friday,
1624580081,23-04-2016,1562,Saturday,
1624580081,24-04-2016,1617,Sunday,
1624580081,25-04-2016,1492,Monday,
1624580081,26-04-2016,1402,Tuesday,
1624580081,27-04-2016,1670,Wednesday,
1624580081,28-04-2016,1401,Thursday,
1624580081,29-04-2016,1404,Friday,
1624580081,30-04-2016,1655,Saturday,
1624580081,01-05-2016,2690,Sunday,
1624580081,02-05-2016,1497,Monday,
1624580081,03-05-2016,1334,Tuesday,
1624580081,04-05-2016,1368,Wednesday,
1624580081,05-05-2016,1370,Thursday,
1624580081,06-05-2016,1341,Friday,
1624580081,07-05-2016,1474,Saturday,
1624580081,08-05-2016,1427,Sunday,
1624580081,09-05-2016,1328,Monday,
1624580081,10-05-2016,1393,Tuesday,
1624580081,11-05-2016,1359,Wednesday,
1624580081,12-05-2016,1002,Thursday,
1644430081,12-04-2016,3199,Tuesday,
1644430081,13-04-2016,2902,Wednesday,
1644430081,14-04-2016,3226,Thursday,
