Id,Calories,date,time
1503960366,81,12-04-2016,12:00
1503960366,61,12-04-2016,01:00
1503960366,59,12-04-2016,02:00
1503960366,47,12-04-2016,03:00
1503960366,48,12-04-2016,04:00
1503960366,48,12-04-2016,05:00
1503960366,48,12-04-2016,06:00
1503960366,47,12-04-2016,07:00
1503960366,68,12-04-2016,08:00
1503960366,141,12-04-2016,09:00
1503960366,99,12-04-2016,10:00
1503960366,76,12-04-2016,11:00
1503960366,73,12-04-2016,12:00
1503960366,66,12-04-2016,01:00
1503960366,110,12-04-2016,02:00
1503960366,151,12-04-2016,03:00
1503960366,76,12-04-2016,04:00
1503960366,83,12-04-2016,05:00
1503960366,124,12-04-2016,06:00
1503960366,104,12-04-2016,07:00
1503960366,132,12-04-2016,08:00
1503960366,100,12-04-2016,09:00
1503960366,65,12-04-2016,10:00
1503960366,81,12-04-2016,11:00
1503960366,69,13-04-2016,12:00
1503960366,48,13-04-2016,01:00
1503960366,47,13-04-2016,02:00
1503960366,53,13-04-2016,03:00
1503960366,47,13-04-2016,04:00
1503960366,47,13-04-2016,05:00
1503960366,48,13-04-2016,06:00
1503960366,59,13-04-2016,07:00
1503960366,69,13-04-2016,08:00
1503960366,136,13-04-2016,09:00
1503960366,77,13-04-2016,10:00
1503960366,84,13-04-2016,11:00
1503960366,82,13-04-2016,12:00
1503960366,72,13-04-2016,01:00
1503960366,128,13-04-2016,02:00
1503960366,79,13-04-2016,03:00
1503960366,71,13-04-2016,04:00
1503960366,87,13-04-2016,05:00
1503960366,118,13-04-2016,06:00
1503960366,73,13-04-2016,07:00
1503960366,47,13-04-2016,08:00
1503960366,48,13-04-2016,09:00
1503960366,74,13-04-2016,10:00
1503960366,135,13-04-2016,11:00
1503960366,56,14-04-2016,12:00
1503960366,54,14-04-2016,01:00
1503960366,47,14-04-2016,02:00
1503960366,47,14-04-2016,03:00
1503960366,47,14-04-2016,04:00
1503960366,47,14-04-2016,05:00
1503960366,47,14-04-2016,06:00
1503960366,47,14-04-2016,07:00
1503960366,47,14-04-2016,08:00
1503960366,93,14-04-2016,09:00
1503960366,109,14-04-2016,10:00
1503960366,64,14-04-2016,11:00
1503960366,85,14-04-2016,12:00
1503960366,137,14-04-2016,01:00
1503960366,113,14-04-2016,02:00
1503960366,66,14-04-2016,03:00
1503960366,88,14-04-2016,04:00
1503960366,61,14-04-2016,05:00
1503960366,72,14-04-2016,06:00
